suite,method,order,n,m,seed,trial,measurement,operation,time_ms,peak_kib,correct,total_dfns,python_version,platform,commit_sha,timestamp_utc
baseline,proposed,t-inc,5,6,20260803,-1,timing,preprocess,0.003187000,,True,3003,3.12.3,Linux-6.8.0-138-generic-x86_64-with-glibc2.39,unknown,2026-09-04T16:07:49.240157+00:00
baseline,proposed,t-inc,5,6,20260803,-1,memory,preprocess,,1.685547,True,3003,3.12.3,Linux-6.8.0-138-generic-x86_64-with-glibc2.39,unknown,2026-09-04T16:07:49.240157+00:00
baseline,proposed,t-inc,5,6,20260803,0,timing,unrank,0.031627000,,True,3003,3.12.3,Linux-6.8.0-138-generic-x86_64-with-glibc2.39,unknown,2026-09-04T16:07:49.240157+00:00
baseline,proposed,t-inc,5,6,20260803,0,timing,rank,0.033107000,,True,3003,3.12.3,Linux-6.8.0-138-generic-x86_64-with-glibc2.39,unknown,2026-09-04T16:07:49.240157+00:00
baseline,proposed,t-inc,5,6,20260803,1,timing,unrank,0.032203000,,True,3003,3.12.3,Linux-6.8.0-138-generic-x86_64-with-glibc2.39,unknown,2026-09-04T16:07:49.240157+00:00
baseline,proposed,t-inc,5,6,20260803,1,timing,rank,0.034293000,,True,3003,3.12.3,Linux-6.8.0-138-generic-x86_64-with-glibc2.39,unknown,2026-09-04T16:07:49.240157+00:00
baseline,proposed,t-inc,5,6,20260803,2,timing,unrank,0.031202000,,True,3003,3.12.3,Linux-6.8.0-138-generic-x86_64-with-glibc2.39,unknown,2026-09-04T16:07:49.240157+00:00
baseline,proposed,t-inc,5,6,20260803,2,timing,rank,0.033322000,,True,3003,3.12.3,Linux-6.8.0-138-generic-x86_64-with-glibc2.39,unknown,2026-09-04T16:07:49.240157+00:00
baseline,proposed,t-inc,5,6,20260803,3,timing,unrank,0.035269000,,True,3003,3.12.3,Linux-6.8.0-138-generic-x86_64-with-glibc2.39,unknown,2026-09-04T16:07:49.240157+00:00
baseline,proposed,t-inc,5,6,20260803,3,timing,rank,0.030802000,,True,3003,3.12.3,Linux-6.8.0-138-generic-x86_64-with-glibc2.39,unknown,2026-09-04T16:07:49.240157+00:00
baseline,proposed,t-inc,5,6,20260803,4,timing,unrank,0.024503000,,True,3003,3.12.3,Linux-6.8.0-138-generic-x86_64-with-glibc2.39,unknown,2026-09-04T16:07:49.240157+00:00
baseline,proposed,t-inc,5,6,20260803,4,timing,rank,0.023133000,,True,3003,3.12.3,Linux-6.8.0-138-generic-x86_64-with-glibc2.39,unknown,2026-09-04T16:07:49.240157+00:00
baseline,proposed,t-inc,5,6,20260803,5,timing,unrank,0.024755000,,True,3003,3.12.3,Linux-6.8.0-138-generic-x86_64-with-glibc2.39,unknown,2026-09-04T16:07:49.240157+00:00
baseline,proposed,t-inc,5,6,20260803,5,timing,rank,0.043856000,,True,3003,3.12.3,Linux-6.8.0-138-generic-x86_64-with-glibc2.39,unknown,2026-09-04T16:07:49.240157+00:00
baseline,proposed,t-inc,5,6,20260803,6,timing,unrank,0.031167000,,True,3003,3.12.3,Linux-6.8.0-138-generic-x86_64-with-glibc2.39,unknown,2026-09-04T16:07:49.240157+00:00
baseline,proposed,t-inc,5,6,20260803,6,timing,rank,0.059411000,,True,3003,3.12.3,Linux-6.8.0-138-generic-x86_64-with-glibc2.39,unknown,2026-09-04T16:07:49.240157+00:00
baseline,proposed,t-inc,5,6,20260803,7,timing,unrank,0.102537000,,True,3003,3.12.3,Linux-6.8.0-138-generic-x86_64-with-glibc2.39,unknown,2026-09-04T16:07:49.240157+00:00
baseline,proposed,t-inc,5,6,20260803,7,timing,rank,0.114485000,,True,3003,3.12.3,Linux-6.8.0-138-generic-x86_64-with-glibc2.39,unknown,2026-09-04T16:07:49.240157+00:00
baseline,proposed,t-inc,5,6,20260803,8,timing,unrank,0.080430000,,True,3003,3.12.3,Linux-6.8.0-138-generic-x86_64-with-glibc2.39,unknown,2026-09-04T16:07:49.240157+00:00
baseline,proposed,t-inc,5,6,20260803,8,timing,rank,0.044091000,,True,3003,3.12.3,Linux-6.8.0-138-generic-x86_64-with-glibc2.39,unknown,2026-09-04T16:07:49.240157+00:00
baseline,proposed,t-inc,5,6,20260803,9,timing,unrank,0.030180000,,True,3003,3.12.3,Linux-6.8.0-138-generic-x86_64-with-glibc2.39,unknown,2026-09-04T16:07:49.240157+00:00
baseline,proposed,t-inc,5,6,20260803,9,timing,rank,0.031461000,,True,3003,3.12.3,Linux-6.8.0-138-generic-x86_64-with-glibc2.39,unknown,2026-09-04T16:07:49.240157+00:00
