suite,method,order,n,m,seed,trial,measurement,operation,time_ms,peak_kib,correct,total_dfns,python_version,platform,commit_sha,timestamp_utc
m-scaling,proposed,t-inc,10,100,20260803,-1,timing,preprocess,0.024959000,,True,33531148826188520,3.12.3,Linux-6.8.0-138-generic-x86_64-with-glibc2.39,unknown,2026-09-04T15:33:26.666232+00:00
m-scaling,proposed,t-inc,10,100,20260803,-1,memory,preprocess,,4.904297,True,33531148826188520,3.12.3,Linux-6.8.0-138-generic-x86_64-with-glibc2.39,unknown,2026-09-04T15:33:26.666232+00:00
m-scaling,proposed,t-inc,10,100,20260803,0,timing,unrank,1.887746000,,True,33531148826188520,3.12.3,Linux-6.8.0-138-generic-x86_64-with-glibc2.39,unknown,2026-09-04T15:33:26.666232+00:00
m-scaling,proposed,t-inc,10,100,20260803,0,timing,rank,1.396724000,,True,33531148826188520,3.12.3,Linux-6.8.0-138-generic-x86_64-with-glibc2.39,unknown,2026-09-04T15:33:26.666232+00:00
m-scaling,proposed,t-inc,10,100,20260803,1,timing,unrank,2.459247000,,True,33531148826188520,3.12.3,Linux-6.8.0-138-generic-x86_64-with-glibc2.39,unknown,2026-09-04T15:33:26.666232+00:00
m-scaling,proposed,t-inc,10,100,20260803,1,timing,rank,2.016118000,,True,33531148826188520,3.12.3,Linux-6.8.0-138-generic-x86_64-with-glibc2.39,unknown,2026-09-04T15:33:26.666232+00:00
m-scaling,proposed,t-inc,10,100,20260803,2,timing,unrank,1.645675000,,True,33531148826188520,3.12.3,Linux-6.8.0-138-generic-x86_64-with-glibc2.39,unknown,2026-09-04T15:33:26.666232+00:00
m-scaling,proposed,t-inc,10,100,20260803,2,timing,rank,1.105278000,,True,33531148826188520,3.12.3,Linux-6.8.0-138-generic-x86_64-with-glibc2.39,unknown,2026-09-04T15:33:26.666232+00:00
m-scaling,proposed,t-inc,10,100,20260803,3,timing,unrank,1.137039000,,True,33531148826188520,3.12.3,Linux-6.8.0-138-generic-x86_64-with-glibc2.39,unknown,2026-09-04T15:33:26.666232+00:00
m-scaling,proposed,t-inc,10,100,20260803,3,timing,rank,1.366264000,,True,33531148826188520,3.12.3,Linux-6.8.0-138-generic-x86_64-with-glibc2.39,unknown,2026-09-04T15:33:26.666232+00:00
m-scaling,proposed,t-inc,10,100,20260803,4,timing,unrank,1.433914000,,True,33531148826188520,3.12.3,Linux-6.8.0-138-generic-x86_64-with-glibc2.39,unknown,2026-09-04T15:33:26.666232+00:00
m-scaling,proposed,t-inc,10,100,20260803,4,timing,rank,1.488950000,,True,33531148826188520,3.12.3,Linux-6.8.0-138-generic-x86_64-with-glibc2.39,unknown,2026-09-04T15:33:26.666232+00:00
m-scaling,proposed,t-inc,10,100,20260803,5,timing,unrank,1.547552000,,True,33531148826188520,3.12.3,Linux-6.8.0-138-generic-x86_64-with-glibc2.39,unknown,2026-09-04T15:33:26.666232+00:00
m-scaling,proposed,t-inc,10,100,20260803,5,timing,rank,1.995837000,,True,33531148826188520,3.12.3,Linux-6.8.0-138-generic-x86_64-with-glibc2.39,unknown,2026-09-04T15:33:26.666232+00:00
m-scaling,proposed,t-inc,10,100,20260803,6,timing,unrank,1.846418000,,True,33531148826188520,3.12.3,Linux-6.8.0-138-generic-x86_64-with-glibc2.39,unknown,2026-09-04T15:33:26.666232+00:00
m-scaling,proposed,t-inc,10,100,20260803,6,timing,rank,1.466133000,,True,33531148826188520,3.12.3,Linux-6.8.0-138-generic-x86_64-with-glibc2.39,unknown,2026-09-04T15:33:26.666232+00:00
m-scaling,proposed,t-inc,10,100,20260803,7,timing,unrank,1.234476000,,True,33531148826188520,3.12.3,Linux-6.8.0-138-generic-x86_64-with-glibc2.39,unknown,2026-09-04T15:33:26.666232+00:00
m-scaling,proposed,t-inc,10,100,20260803,7,timing,rank,1.380473000,,True,33531148826188520,3.12.3,Linux-6.8.0-138-generic-x86_64-with-glibc2.39,unknown,2026-09-04T15:33:26.666232+00:00
m-scaling,proposed,t-inc,10,100,20260803,8,timing,unrank,1.671883000,,True,33531148826188520,3.12.3,Linux-6.8.0-138-generic-x86_64-with-glibc2.39,unknown,2026-09-04T15:33:26.666232+00:00
m-scaling,proposed,t-inc,10,100,20260803,8,timing,rank,1.148341000,,True,33531148826188520,3.12.3,Linux-6.8.0-138-generic-x86_64-with-glibc2.39,unknown,2026-09-04T15:33:26.666232+00:00
m-scaling,proposed,t-inc,10,100,20260803,9,timing,unrank,1.231562000,,True,33531148826188520,3.12.3,Linux-6.8.0-138-generic-x86_64-with-glibc2.39,unknown,2026-09-04T15:33:26.666232+00:00
m-scaling,proposed,t-inc,10,100,20260803,9,timing,rank,1.610826000,,True,33531148826188520,3.12.3,Linux-6.8.0-138-generic-x86_64-with-glibc2.39,unknown,2026-09-04T15:33:26.666232+00:00
m-scaling,proposed,t-inc,10,100,20260803,10,timing,unrank,2.579106000,,True,33531148826188520,3.12.3,Linux-6.8.0-138-generic-x86_64-with-glibc2.39,unknown,2026-09-04T15:33:26.666232+00:00
m-scaling,proposed,t-inc,10,100,20260803,10,timing,rank,2.199167000,,True,33531148826188520,3.12.3,Linux-6.8.0-138-generic-x86_64-with-glibc2.39,unknown,2026-09-04T15:33:26.666232+00:00
m-scaling,proposed,t-inc,10,100,20260803,11,timing,unrank,2.686053000,,True,33531148826188520,3.12.3,Linux-6.8.0-138-generic-x86_64-with-glibc2.39,unknown,2026-09-04T15:33:26.666232+00:00
